Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
2.896075964,0,313.1120911
2.201855898,0,338.1872864
3.418040991,43.35797331,308.2749023
3.209656954,26.22550558,296.4602051
3.092607975,19.64955416,302.644989
2.95758605,0,306.2347107
3.802710056,93.23419656,302.2344971
2.681519032,0,300.1575012
2.174657106,0,308.3120117
2.12748909,0,285.7166138
1.911278009,0,263.1394043
1.717532039,0,250.1069031
1.953783989,0,235.3231049
2.104336023,0,231.5205994
2.173634052,0,261.1196899
1.786031008,0,250.3791046
1.511755943,0,283.2633972
1.59967804,0,323.84729
1.383831024,0,311.7663879
1.28223002,0,289.660614
1.768030047,0,253.3930969
1.630704045,0,238.4373932
1.433897018,0,234.3511963
1.669222951,0,247.1123962
1.545390964,0,236.2960968
1.981886983,0,235.3430939
2.633574963,0,236.8869019
2.414356947,0,229.2657928
2.152529955,0,242.2501984
2.120126009,0,234.2127991
2.23940897,0,236.4194946
2.801307917,0,243.9626007
3.201854944,25.7189917,241.4969025
2.875705957,0,236.6499023
2.854813099,0,231.9618073
2.863102913,0,214.8110046
2.499380112,0,203.1401978
2.928209066,0,208.8934021
2.825680017,0,222.7451019
2.271142006,0,225.7310944
2.446209908,0,231.9817047
2.877877951,0,224.1681976
2.957370043,0,208.3934021
3.568568945,60.05585785,208.1672058
2.449913979,0,224.892395
1.791203976,0,243.6520996
1.930189967,0,252.5655975
1.660967946,0,233.1425934
2.148116112,0,257.0335999
2.624979019,0,258.8557129
2.289019108,0,253.5534973
2.671096087,0,253.2687988
2.723583937,0,245.9183044
2.813057899,0,244.0549927
2.679502964,0,251.0276031
2.554055929,0,241.9400024
2.330497026,0,238.5106049
1.548683047,0,209.9880066
1.566717982,0,188.5220947
2.107630014,0,197.4953003
1.79004705,0,185.6945038
1.783530951,0,205.5852966
1.452373028,0,231.9136047
2.141073942,0,221.9756012
2.596193075,0,227.854599
2.092180014,0,212.6759033
1.928406954,0,186.9420013
1.896306992,0,207.5079041
1.386492014,0,227.8764954
1.383507013,0,243.2460938
1.208117008,0,226.5276031
1.212676048,0,232.8432007
1.216743946,0,275.9594116
0.858171403,0,258.8037109
0.528895795,0,215.6981049
0.724772871,0,216.8983002
1.208716989,0,269.7489014
0.680991471,0,249.2165985
1.802721024,0,183.5424957
1.805271029,0,170.5200958
0.772655725,0,140.0912933
